ts_utc_iso,real_lat,real_lon,real_alt_m,spoof_lat,spoof_lon,spoof_alt_m
2025-10-18T15:12:55.990323+00:00Z,4.7397996188573846e-06,8.5462304843372e-07,0.00022148777544498443,,,
2025-10-18T15:12:56.190297+00:00Z,4.739799622543124e-06,8.546230519402632e-07,0.00021833503246307374,,,
2025-10-18T15:12:56.391557+00:00Z,4.739799624201148e-06,8.546230544817568e-07,0.00021464864909648894,,,
2025-10-18T15:12:56.590205+00:00Z,4.739799624590247e-06,8.546230562826961e-07,0.00021176427602767945,,,
2025-10-18T15:12:56.790861+00:00Z,4.739799622666048e-06,8.546230601072993e-07,0.00021080420911312103,,,
2025-10-18T15:12:56.990283+00:00Z,4.739799619746495e-06,8.546230654372332e-07,0.0002109552174806595,,,
2025-10-18T15:12:57.191019+00:00Z,4.73979961570509e-06,8.546230712399545e-07,0.0002123100608587265,,,
2025-10-18T15:12:57.390289+00:00Z,4.739799613698655e-06,8.546230776335619e-07,0.0002142179310321808,,,
2025-10-18T15:12:57.590234+00:00Z,4.739799614089007e-06,8.546230824579969e-07,0.0002135610729455948,,,
2025-10-18T15:12:57.790240+00:00Z,4.7397996155525246e-06,8.546230866019631e-07,0.00021069012582302092,,,
2025-10-18T15:12:57.990265+00:00Z,4.739799617390149e-06,8.546230925936911e-07,0.0002065710425376892,,,
2025-10-18T15:12:58.190222+00:00Z,4.739799620313025e-06,8.546230995666077e-07,0.00020175613462924957,,,
2025-10-18T15:12:58.390156+00:00Z,4.739799623044368e-06,8.54623108297358e-07,0.00019782069325447084,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:58.590381+00:00Z,4.739799624698258e-06,8.546231149307767e-07,0.0001958053708076477,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:58.790285+00:00Z,4.739799624620734e-06,8.546231184507944e-07,0.0001962803304195404,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:58.990276+00:00Z,4.739799622255701e-06,8.546230966237899e-07,0.00020713165402412416,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:59.190338+00:00Z,4.739799614972311e-06,8.546230200689166e-07,0.00023082789778709412,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:59.390325+00:00Z,4.739799577031728e-06,8.54622793771412e-07,0.0002797316312789917,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:59.590321+00:00Z,4.739799442156397e-06,8.546223422854076e-07,0.0004012356698513031,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:59.790308+00:00Z,4.739799177534777e-06,8.546216820354529e-07,0.0006213133335113525,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:12:59.990301+00:00Z,4.739798812443837e-06,8.546208762112204e-07,0.0009432636499404907,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:13:00.190324+00:00Z,4.739798467377202e-06,8.546201363018106e-07,0.0013230593204498291,4.7397969,8.5461574862,0.0011810859441
2025-10-18T15:13:00.391972+00:00Z,4.739798116140374e-06,8.546193573249907e-07,0.001838714838027954,4.7397969,8.5461574862,0.0011810859441
